compressor,level,compressed_size,compression_ratio,compression_time,decompression_time,avg_cpu_compression,avg_cpu_decompression,is_correct
7zip,1,527314771,0.2775,4.3535,0.9676,89.12,46.58,1
7zip,2,527016717,0.2774,4.5722,0.9533,84.05,46.72,1
7zip,3,526620380,0.2772,4.8169,1.0696,79.75,45.94,1
7zip,4,513942760,0.2705,4.6527,1.3070,82.40,42.25,1
7zip,5,103251098,0.0543,112.1804,0.9980,49.18,12.44,1
7zip,6,63221149,0.0333,173.2125,1.0473,25.86,8.42,1
7zip,7,57785721,0.0304,183.9158,1.0359,25.72,8.04,1
7zip,8,56459117,0.0297,182.8359,1.0374,25.61,9.43,1
7zip,9,56459117,0.0297,182.5560,1.0032,25.66,8.22,1
gzip,1,615908549,0.3242,14.5543,5.2409,3.53,3.73,1
gzip,2,590669504,0.3109,20.1478,4.4735,3.56,3.38,1
gzip,3,565707736,0.2977,42.9294,3.6965,3.60,3.32,1
gzip,4,560093808,0.2948,30.2647,3.7860,3.57,3.43,1
gzip,5,547644291,0.2882,78.9828,4.2250,3.59,3.37,1
gzip,6,532700456,0.2804,216.5461,4.0489,3.60,3.38,1
gzip,7,524158819,0.2759,374.2080,3.7784,3.62,3.37,1
gzip,8,510696226,0.2688,1213.5540,3.5353,3.60,3.34,1
gzip,9,508980019,0.2679,1411.7644,3.5193,3.60,3.36,1
zstd,1,561258179,0.2954,0.3625,1.2643,33.39,3.91,1
zstd,2,562074272,0.2958,0.3818,1.4298,30.36,3.95,1
zstd,3,548803820,0.2888,0.4408,1.2059,32.66,3.91,1
zstd,4,545639430,0.2872,0.4644,1.1918,31.68,4.08,1
zstd,5,541741076,0.2851,0.8996,1.3479,56.15,4.00,1
zstd,6,536023017,0.2821,1.3689,1.2841,66.10,3.88,1
zstd,7,530872723,0.2794,1.6480,1.2106,69.49,3.90,1
zstd,8,529694734,0.2788,2.1957,1.1798,72.31,3.91,1
zstd,9,529174920,0.2785,2.1181,1.1822,75.17,3.88,1
zstd,10,523249387,0.2754,3.2025,1.1135,77.26,4.01,1
zstd,11,517061681,0.2721,5.0468,1.0608,76.39,3.82,1
zstd,12,517023788,0.2721,5.0513,1.0783,76.95,3.96,1
zstd,13,504308171,0.2654,13.2720,1.0131,83.04,3.99,1
zstd,14,481607290,0.2535,38.9481,1.0441,90.28,4.02,1
zstd,15,474456625,0.2497,52.9364,1.0859,90.32,3.87,1
zstd,16,449368589,0.2365,56.7131,0.9388,91.77,4.02,1
zstd,17,304458803,0.1602,58.1554,0.7314,86.05,4.15,1
zstd,18,304373276,0.1602,61.6060,0.7954,85.57,4.08,1
zstd,19,293886926,0.1547,75.6181,0.8035,82.97,4.01,1
pigz,1,616356935,0.3244,0.9700,4.3228,65.36,4.35,1
pigz,2,591153762,0.3111,1.1731,4.1090,72.29,4.77,1
pigz,3,566127088,0.2980,2.2242,3.4901,86.00,4.55,1
pigz,4,560645118,0.2951,1.6598,3.9140,80.33,4.29,1
pigz,5,548196779,0.2885,4.0769,3.8041,87.84,4.63,1
pigz,6,533334813,0.2807,11.0077,3.4281,95.40,4.68,1
pigz,7,524807858,0.2762,19.4681,3.3543,98.19,4.42,1
pigz,8,511411915,0.2692,61.5254,3.5801,99.21,4.44,1
pigz,9,509650078,0.2682,71.8761,3.5951,99.49,4.36,1
bzip3,-b8,421654826,0.2219,11.8181,8.9002,83.92,77.32,1
bzip3,-b16,391553657,0.2061,12.9925,9.3297,82.84,74.40,1
bzip3,-b32,327917857,0.1726,13.7205,9.7236,83.74,70.29,1
bzip3,-b64,247585411,0.1303,13.8372,6.8927,84.04,92.69,0
bzip3,-b64,247585398,0.1303,13.9312,9.1103,85.11,72.27,1
bzip3,-b128,181999168,0.0958,14.6317,13.5484,44.16,40.17,1
bzip3,-b256,138080258,0.0727,18.2989,18.4018,24.32,21.58,0
bzip3,-b256,133386794,0.0702,17.7042,19.0292,24.65,24.08,1
bzip3,-b512,0,0.0000,0.0015,0.0098,3.55,3.56,0
bsc,-b10,323801088,0.1704,6.6730,2.0290,92.57,80.59,0
bsc,-b10,417127618,0.2195,7.6539,2.8301,91.51,86.23,1
bsc,-b25,339410710,0.1786,9.3017,0.8698,89.36,65.59,0
bsc,-b25,339410710,0.1786,9.3097,2.8831,88.44,78.49,1
bsc,-b50,257635106,0.1356,9.9764,3.0516,80.31,69.53,1
bsc,-b100,187184788,0.0985,10.1392,2.3070,58.68,56.25,0
bsc,-b100,187184734,0.0985,10.2278,2.8352,57.69,50.70,1
bsc,-b200,134961808,0.0710,10.9602,2.5151,51.92,50.87,0
bsc,-b200,134961858,0.0710,10.9545,2.6632,51.09,49.94,1
bsc,-b400,0,0.0000,5.0927,0.0125,51.99,0.35,0
bsc,-b400,100152586,0.0527,11.1986,3.1465,49.98,59.46,1
bsc,-b800,76705576,0.0404,12.2330,4.6873,36.41,56.32,1
bsc,-b1600,0,0.0000,1.8686,0.0138,23.19,0.00,0
bsc,-b1600,60696184,0.0319,16.5319,7.8707,19.34,43.93,1
bsc,-b2047,47922412,0.0252,17.6491,7.6681,17.50,45.32,1
mcm,-t,436196609,0.2296,128.7338,172.6931,3.65,3.73,1
mcm,-f,433560592,0.2282,147.2769,193.5509,3.64,3.73,1
mcm,-m,433607995,0.2282,168.0787,200.9596,3.64,3.72,1
mcm,-h,234610809,0.1235,223.7278,238.1156,3.64,3.71,1
mcm,-x,0,0.0000,7.1790,0.0092,4.20,0.35,0
mcm,-x,0,0.0000,7.1469,0.0098,4.16,0.18,0
