compressor,level,compressed_size,compression_ratio,compression_time,decompression_time,avg_cpu_compression,avg_cpu_decompression,is_correct
7zip,1,527314771,0.2775,4.5772,0.9848,91.5,62,1
7zip,2,527016717,0.2774,4.6049,1.0255,92,68,1
7zip,3,526620380,0.2772,5.0407,1.0591,90.25,65,1
7zip,4,513942760,0.2705,5.1936,1.3923,88,62,1
7zip,5,103251098,0.0543,121.6896,1.0465,84.45,29,1
7zip,6,63221149,0.0333,192.1568,1.1305,57.47,15,1
7zip,7,57785721,0.0304,206.9298,1.1345,50.46,16,1
7zip,8,56459117,0.0297,207.9448,1.0428,57.36,22,1
7zip,9,0,0,13.6011,0.0138,55.36,0,0
7zip,9,56459117,0.0297,205.1731,1.0754,51.65,0,1
gzip,1,615908549,0.3242,28.608,11.3259,1.05,1.44,1
gzip,2,590669504,0.3109,35.8813,10.865,1.34,1.78,1
gzip,3,565707736,0.2977,64.6994,9.817,3.16,1.38,1
gzip,4,560093808,0.2948,48.3754,10.1677,5.46,13.88,1
gzip,5,547644291,0.2882,114.6031,10.0772,3.7,0.62,1
gzip,6,532700456,0.2804,289.1693,9.1463,2.29,44.57,1
gzip,7,524158819,0.2759,487.9802,8.5879,3.65,1.14,1
gzip,8,510696226,0.2688,1525.3295,8.2129,2.6,14.29,1
gzip,9,508980019,0.2679,1782.4961,8.2484,2.28,1.14,1
zstd,1,561258179,0.2954,0.4443,1.606,0,2,1
zstd,2,562074272,0.2958,0.4788,1.8018,0,2,1
zstd,3,548803820,0.2888,0.5286,1.5484,0,66,1
zstd,4,545639430,0.2872,0.555,1.4965,0,3,1
zstd,5,541741076,0.2851,1.0127,1.731,66,4,1
zstd,6,536023017,0.2821,1.4883,1.6303,66,1,1
zstd,7,530872723,0.2794,1.8432,1.5379,68,2,1
zstd,8,529694734,0.2788,2.4555,1.4967,84,2,1
zstd,9,529174920,0.2785,2.4792,1.5024,82,0,1
zstd,10,523249387,0.2754,3.5948,1.4248,87.67,0,1
zstd,11,517061681,0.2721,6.0616,1.3369,92.4,1,1
zstd,12,517023788,0.2721,6.1983,1.3374,92.4,4,1
zstd,13,504308171,0.2654,15.6096,1.2759,93.83,1,1
zstd,14,481607290,0.2535,49.3952,1.3911,74.62,0,1
zstd,15,474456625,0.2497,67.0363,1.4703,68.45,2,1
zstd,16,449368589,0.2365,71.1922,1.1818,91.37,1,1
zstd,17,304458803,0.1602,77.5736,0.8718,93.35,2,1
zstd,18,304373276,0.1602,84.5442,0.9903,72.18,1,1
zstd,19,293883819,0.1547,102.8116,1.0376,87.41,1,1
pigz,1,616356983,0.3244,2.0853,4.576,72.5,1.25,1
pigz,2,591153810,0.3111,2.6988,4.3613,73,1.67,1
pigz,3,566127136,0.298,5.91,3.7142,58.4,37.67,1
pigz,4,560645166,0.2951,4.0251,4.17,80.33,69.33,1
pigz,5,548196827,0.2885,11.3028,4.028,63.44,2.5,1
pigz,6,533334861,0.2807,28.7435,3.6734,87.13,2.33,1
pigz,7,524807906,0.2762,49.1358,3.5563,94.21,5,1
pigz,8,511411963,0.2692,168.0733,3.7534,81.23,2.33,1
pigz,9,509650126,0.2682,184.4911,3.776,98.43,4.67,1
bzip3,-b8,421654826,0.2219,12.6902,8.8544,91.67,87.71,1
bzip3,-b16,391553657,0.2061,14.1837,9.4618,79,80.86,1
bzip3,-b32,0,0,7.8268,0.0214,47,0,0
bzip3,-b32,327917857,0.1726,15.1519,9.9803,88.73,73.38,1
bzip3,-b64,247585398,0.1303,16.0192,10.3163,85,75.5,1
bzip3,-b128,181999168,0.0958,16.7371,14.0779,91.54,87.73,1
bzip3,-b256,133386794,0.0702,21.6323,22.4759,22.41,31.56,1
bsc,-b10,417127618,0.2195,52.5541,41.5808,34.48,19.09,1
bsc,-b25,339410710,0.1786,49.8369,38.6874,3.88,63.58,1
bsc,-b50,257635106,0.1356,50.86,35.3535,3.05,0.48,1
bsc,-b100,187184734,0.0985,53.8736,31.6442,1.91,1.08,1
