file,compressor,compressed_size,compression_ratio,compression_time,decompression_time,avg_cpu_compression,avg_cpu_decompression,is_correct
achromobacter_xylosoxidans__01_1_16.seq,7zip -mx=5,6731450,0.0567,45.6979,0.2229,4.02,1.15,1
achromobacter_xylosoxidans__01_1_16.seq,zstd -17,18232736,0.1535,12.2057,0.0644,11.14,0.18,1
achromobacter_xylosoxidans__01_1_16.seq,bzip3 -b256,11488568,0.0967,5.3484,6.9496,3.46,3.61,1
achromobacter_xylosoxidans__01_1_16.seq,bsc -b2047,10824612,0.0912,1.0985,0.5193,11.53,29.06,1
achromobacter_xylosoxidans__01_1_4.seq,7zip -mx=5,28519426,0.0600,74.0405,0.3902,13.50,5.43,1
achromobacter_xylosoxidans__01_1_4.seq,zstd -17,77716618,0.1636,22.8158,0.2052,45.34,1.50,1
achromobacter_xylosoxidans__01_1_4.seq,bzip3 -b256,35766253,0.0753,13.7592,16.9156,6.42,6.48,1
achromobacter_xylosoxidans__01_1_4.seq,bsc -b2047,22893598,0.0482,4.3646,1.9103,17.40,43.73,1
achromobacter_xylosoxidans__01_1_64.seq,7zip -mx=5,3659870,0.1233,10.2517,0.1062,4.29,0.97,1
achromobacter_xylosoxidans__01_1_64.seq,zstd -17,5324444,0.1793,7.3597,0.0366,3.52,0.00,1
achromobacter_xylosoxidans__01_1_64.seq,bzip3 -b256,5542848,0.1867,1.3862,1.9184,3.10,3.39,1
achromobacter_xylosoxidans__01_1_64.seq,bsc -b2047,5278022,0.1778,0.3179,0.1607,7.15,10.96,1
achromobacter_xylosoxidans__01.seq,7zip -mx=5,103251098,0.0543,112.1290,0.9525,49.28,12.53,1
achromobacter_xylosoxidans__01.seq,zstd -17,304459085,0.1602,58.0995,0.7207,86.04,4.05,1
achromobacter_xylosoxidans__01.seq,bzip3 -b256,133386794,0.0702,17.8934,19.2541,24.23,24.09,1
achromobacter_xylosoxidans__01.seq,bsc -b2047,47922412,0.0252,17.6150,7.5857,16.61,45.43,1
escherichia_coli__01_1_16.seq,7zip -mx=5,49847957,0.0397,92.0999,0.6918,33.07,8.69,1
escherichia_coli__01_1_16.seq,zstd -17,173921538,0.1384,43.3206,0.4205,62.16,3.25,1
escherichia_coli__01_1_16.seq,bzip3 -b256,74996576,0.0597,15.6092,18.3676,15.80,16.08,1
escherichia_coli__01_1_16.seq,bsc -b2047,31202148,0.0248,11.3062,6.9023,16.56,31.83,1
escherichia_coli__01_1_4.seq,7zip -mx=5,187979857,0.0374,301.9692,2.2677,45.66,15.02,1
escherichia_coli__01_1_4.seq,zstd -17,693180666,0.1379,132.1035,1.5704,85.77,5.05,1
escherichia_coli__01_1_4.seq,bzip3 -b256,0,0.0000,11.5371,0.0173,62.25,0.00,0
escherichia_coli__01_1_4.seq,bzip3 -b256,278020603,0.0553,34.0540,29.1667,60.33,50.20,1
escherichia_coli__01_1_4.seq,bsc -b2047,12271616,0.0024,16.4118,0.0214,42.24,0.35,0
escherichia_coli__01_1_4.seq,bsc -b2047,91423578,0.0182,31.4396,10.1370,38.65,61.38,1
escherichia_coli__01_1_4.seq,bsc -b2047,91423578,0.0182,31.6682,10.0917,37.78,60.97,1
escherichia_coli__01_1_64.seq,7zip -mx=5,15504201,0.0493,64.4603,0.3198,8.82,3.36,1
escherichia_coli__01_1_64.seq,zstd -17,46183915,0.1470,18.9472,0.1252,29.09,1.68,1
escherichia_coli__01_1_64.seq,bzip3 -b256,22549984,0.0718,13.4552,17.1399,4.14,4.11,1
escherichia_coli__01_1_64.seq,bsc -b2047,16645204,0.0530,2.8986,1.7442,15.17,29.16,1
listeria_monocytogenes__01.seq,7zip -mx=5,247509428,0.0208,580.0133,5.3042,49.06,24.17,1
listeria_monocytogenes__01.seq,zstd -17,953856016,0.0802,258.9053,3.2907,90.53,18.71,1
listeria_monocytogenes__01.seq,bzip3 -b256,0,0.0000,130.5497,0.0141,23.89,3.20,0
listeria_monocytogenes__01.seq,bzip3 -b256,402877640,0.0339,78.0714,53.9476,75.96,70.36,1
listeria_monocytogenes__01.seq,bsc -b2047,0,0.0000,123.1852,0.0049,13.19,4.98,0
listeria_monocytogenes__01.seq,bsc -b2047,80723598,0.0068,62.1187,15.3758,53.16,66.83,1
listeria_monocytogenes__01_1_4.seq,7zip -mx=5,63122914,0.0212,167.5651,1.3225,41.22,12.02,0
listeria_monocytogenes__01_1_4.seq,7zip -mx=5,63122834,0.0212,164.7918,1.3191,40.76,10.94,1
listeria_monocytogenes__01_1_4.seq,zstd -17,242727169,0.0816,68.6400,0.7658,82.75,5.64,1
listeria_monocytogenes__01_1_4.seq,bzip3 -b256,103128258,0.0347,23.8556,22.7842,36.28,32.88,0
listeria_monocytogenes__01_1_4.seq,bzip3 -b256,103128251,0.0347,23.5919,24.3167,34.16,31.47,1
listeria_monocytogenes__01_1_4.seq,bsc -b2047,24676916,0.0083,22.2501,8.5369,25.25,58.19,1
listeria_monocytogenes__01_1_16.seq,7zip -mx=5,15788398,0.0212,64.6100,0.4017,21.49,6.21,1
listeria_monocytogenes__01_1_16.seq,zstd -17,60928690,0.0820,18.2106,0.2063,68.79,3.64,1
listeria_monocytogenes__01_1_16.seq,bzip3 -b256,26390563,0.0355,14.1917,17.5237,10.47,10.55,1
listeria_monocytogenes__01_1_16.seq,bsc -b2047,10485150,0.0141,6.6170,3.4901,17.10,36.93,1
listeria_monocytogenes__01_1_64.seq,7zip -mx=5,5045462,0.0271,43.6736,0.1916,6.24,1.95,1
listeria_monocytogenes__01_1_64.seq,zstd -17,15868858,0.0854,10.9367,0.0628,19.92,3.02,1
listeria_monocytogenes__01_1_64.seq,bzip3 -b256,8161065,0.0439,8.9181,11.6053,4.39,4.42,1
listeria_monocytogenes__01_1_64.seq,bsc -b2047,7036450,0.0379,1.6935,0.9090,14.25,29.54,1
mycobacterium_tuberculosis__01.seq,7zip -mx=5,348687458,0.0200,909.4822,8.0988,50.24,29.57,1
mycobacterium_tuberculosis__01.seq,zstd -17,2037394793,0.1169,342.5539,5.7559,94.84,24.73,1
mycobacterium_tuberculosis__01.seq,bzip3 -b256,0,0.0000,136.7637,0.0084,22.36,3.91,0
mycobacterium_tuberculosis__01.seq,bzip3 -b256,229539840,0.0132,188.9303,0.0831,42.22,6.38,0
mycobacterium_tuberculosis__01.seq,bzip3 -b256,537883629,0.0309,122.1415,85.7097,80.28,69.50,1
mycobacterium_tuberculosis__01.seq,bsc -b2047,0,0.0000,10.5817,0.0233,58.53,0.53,0
mycobacterium_tuberculosis__01.seq,bsc -b2047,0,0.0000,9.8230,0.0134,58.55,3.57,0
mycobacterium_tuberculosis__01.seq,bsc -b2047,0,0.0000,9.4055,0.0350,56.98,0.53,0
mycobacterium_tuberculosis__01_1_4.seq,7zip -mx=5,83414789,0.0191,251.9039,1.8874,44.09,14.35,1
mycobacterium_tuberculosis__01_1_4.seq,zstd -17,525521366,0.1206,87.3054,1.3204,89.34,9.99,1
mycobacterium_tuberculosis__01_1_4.seq,bzip3 -b256,132045025,0.0303,31.0238,23.5333,50.37,48.38,0
mycobacterium_tuberculosis__01_1_4.seq,bzip3 -b256,132044997,0.0303,31.0626,26.5047,53.44,48.17,1
mycobacterium_tuberculosis__01_1_4.seq,bsc -b2047,22810822,0.0052,28.6147,33.3013,33.60,19.50,0
mycobacterium_tuberculosis__01_1_4.seq,bsc -b2047,22810862,0.0052,28.8789,9.6299,35.30,51.37,1
mycobacterium_tuberculosis__01_1_16.seq,7zip -mx=5,23089880,0.0212,77.7669,0.5260,30.89,7.36,1
mycobacterium_tuberculosis__01_1_16.seq,zstd -17,129934459,0.1193,26.3265,0.3395,72.63,4.09,1
mycobacterium_tuberculosis__01_1_16.seq,bzip3 -b256,35723361,0.0328,15.4503,18.4472,15.12,15.29,1
mycobacterium_tuberculosis__01_1_16.seq,bsc -b2047,8858716,0.0081,9.8488,6.2691,17.49,30.67,1
mycobacterium_tuberculosis__01_1_64.seq,7zip -mx=5,6320100,0.0232,54.0408,0.2167,8.33,3.27,1
mycobacterium_tuberculosis__01_1_64.seq,zstd -17,33040585,0.1213,10.5829,0.0873,28.33,0.18,1
mycobacterium_tuberculosis__01_1_64.seq,bzip3 -b256,9107818,0.0334,13.0996,17.1005,4.48,4.44,1
mycobacterium_tuberculosis__01_1_64.seq,bsc -b2047,6112992,0.0224,2.4769,1.5870,15.78,28.00,1
streptococcus_pneumoniae__01.seq,7zip -mx=5,166178162,0.0200,377.8879,3.6154,48.90,18.85,1
streptococcus_pneumoniae__01.seq,zstd -17,431178005,0.0518,180.4769,2.0177,87.05,13.28,1
streptococcus_pneumoniae__01.seq,bzip3 -b256,0,0.0000,133.3873,0.0110,20.28,5.15,0
streptococcus_pneumoniae__01.seq,bzip3 -b256,250919271,0.0301,65.8992,27.7179,74.37,90.52,0
streptococcus_pneumoniae__01.seq,bzip3 -b256,250919265,0.0301,64.8363,46.3502,72.92,61.02,1
streptococcus_pneumoniae__01.seq,bsc -b2047,0,0.0000,140.6000,0.0107,16.00,1.95,0
streptococcus_pneumoniae__01.seq,bsc -b2047,0,0.0000,138.2809,0.0150,16.81,5.13,0
streptococcus_pneumoniae__01.seq,bsc -b2047,61669074,0.0074,44.9728,51.2421,55.40,24.25,0
streptococcus_pneumoniae__01_1_4.seq,7zip -mx=5,31408138,0.0151,112.1349,0.9465,38.61,8.83,1
streptococcus_pneumoniae__01_1_4.seq,zstd -17,91882825,0.0442,38.8357,0.4437,72.38,4.44,1
streptococcus_pneumoniae__01_1_4.seq,bzip3 -b256,54951685,0.0264,17.9365,19.2338,28.11,27.53,1
streptococcus_pneumoniae__01_1_4.seq,bsc -b2047,12718126,0.0061,19.1058,7.6093,17.86,49.28,1
streptococcus_pneumoniae__01_1_16.seq,7zip -mx=5,6998343,0.0135,50.4316,0.3260,14.93,4.19,1
streptococcus_pneumoniae__01_1_16.seq,zstd -17,21893981,0.0421,11.0846,0.1191,37.69,3.64,1
streptococcus_pneumoniae__01_1_16.seq,bzip3 -b256,12789594,0.0246,13.7556,17.2141,7.76,7.88,1
streptococcus_pneumoniae__01_1_16.seq,bsc -b2047,6960258,0.0134,4.6264,1.8687,16.62,46.65,1
streptococcus_pneumoniae__01_1_64.seq,7zip -mx=5,2115601,0.0163,34.0391,0.1467,4.65,2.21,1
streptococcus_pneumoniae__01_1_64.seq,zstd -17,6895088,0.0530,8.3558,0.0525,12.55,2.50,1
streptococcus_pneumoniae__01_1_64.seq,bzip3 -b256,5603461,0.0431,6.1720,8.2333,4.40,4.39,1
streptococcus_pneumoniae__01_1_64.seq,bsc -b2047,4792406,0.0368,1.1420,0.4950,13.50,29.84,1
