file,compressor,compressed_size,compression_ratio,compression_time,decompression_time,avg_cpu_compression,avg_cpu_decompression,is_correct
achromobacter_xylosoxidans__01.seq,7zip -mx=5,103251098,0.0543,120.2724,1.022,92.78,29,1
achromobacter_xylosoxidans__01.seq,zstd -17,304458803,0.1602,77.2676,0.8786,91.26,10,1
achromobacter_xylosoxidans__01.seq,bzip3 -b256,133386794,0.0702,21.2719,21.9816,36.41,7.17,1
achromobacter_xylosoxidans__01.seq,bsc -b2047,47922412,0.0252,60.3386,24.6432,31.81,2.65,1
achromobacter_xylosoxidans__01.seq,zcm -m7,74192378,0.039,16.2182,15.4516,85.15,84.33,1
achromobacter_xylosoxidans__01_1_16.seq,7zip -mx=5,6731450,0.0567,52.6762,0.2357,44.74,0,1
achromobacter_xylosoxidans__01_1_16.seq,zstd -17,18232736,0.1535,13.8724,0.0757,9.55,0,1
achromobacter_xylosoxidans__01_1_16.seq,bzip3 -b256,11488568,0.0967,6.3954,8.0563,1,2,1
achromobacter_xylosoxidans__01_1_16.seq,bsc -b2047,10824612,0.0912,3.3475,1.823,1.5,1,1
achromobacter_xylosoxidans__01_1_16.seq,zcm -m7,20119778,0.1694,2.4133,2.3258,78,80,1
achromobacter_xylosoxidans__01_1_4.seq,7zip -mx=5,28519426,0.06,82.0495,0.4147,47.65,0,1
achromobacter_xylosoxidans__01_1_4.seq,zstd -17,77716618,0.1636,24.3662,0.2384,80.16,0,1
achromobacter_xylosoxidans__01_1_4.seq,bzip3 -b256,35766253,0.0753,16.2209,19.5998,2.58,2.5,1
achromobacter_xylosoxidans__01_1_4.seq,bsc -b2047,22893598,0.0482,14.7533,6.3692,4.33,89,1
achromobacter_xylosoxidans__01_1_4.seq,zcm -m7,43118863,0.0908,6.0431,5.9054,86.6,85.8,1
achromobacter_xylosoxidans__01_1_64.seq,7zip -mx=5,3659870,0.1233,11.8986,0.105,33.4,0,1
achromobacter_xylosoxidans__01_1_64.seq,zstd -17,5324444,0.1793,9.1853,0.0335,1.29,0,1
achromobacter_xylosoxidans__01_1_64.seq,bzip3 -b256,5542848,0.1867,1.7405,2.2558,29,29,1
achromobacter_xylosoxidans__01_1_64.seq,bsc -b2047,5278022,0.1778,0.8196,0.6037,0,0,1
achromobacter_xylosoxidans__01_1_64.seq,zcm -m7,6215721,0.2094,1.248,1.2492,14,6,1
escherichia_coli__01.seq,7zip -mx=5,357441491,0.0178,583.0261,0.0639,92.85,0,0
escherichia_coli__01.seq,zstd -17,2891605879,0.1438,689.955,8.0821,87.02,10.17,1
escherichia_coli__01.seq,bzip3 -b256,0,0,37.4478,0.0272,81.44,0,0
escherichia_coli__01.seq,bzip3 -b256,0,0,41.7149,0.0209,72.23,0,0
escherichia_coli__01.seq,bzip3 -b256,391712768,0.0195,93.332,0.1214,89.28,0,0
escherichia_coli__01.seq,bzip3 -b256,391712768,0.0195,102.2854,0.1336,88.39,0,0
escherichia_coli__01.seq,bsc -b2047,363265180,0.0181,626.2964,77.3088,18.3,34.32,0
escherichia_coli__01.seq,bsc -b2047,363265334,0.0181,621.68,242.8439,2.18,3.98,1
escherichia_coli__01.seq,zcm -m7,198861113,0.0099,116.8366,110.9243,82.49,92.02,1
escherichia_coli__01_1_16.seq,7zip -mx=5,49847957,0.0397,99.5744,0.736,78.95,2,1
escherichia_coli__01_1_16.seq,zstd -17,173921538,0.1384,49.5991,0.4785,74.69,0,1
